iter	Passed	Remaining
0	155	155579
1	157	78524
2	158	52718
3	159	39820
4	161	32051
5	162	26921
6	163	23256
7	165	20481
8	166	18338
9	167	16606
10	169	15196
11	170	14031
12	171	13044
13	173	12187
14	174	11458
15	175	10817
16	177	10236
17	178	9717
18	179	9246
19	180	8827
20	181	8444
21	182	8091
22	182	7769
23	183	7472
24	184	7204
25	185	6954
26	186	6721
27	187	6506
28	188	6303
29	189	6126
30	190	5958
31	192	5808
32	193	5672
33	196	5580
34	200	5529
35	201	5404
36	202	5279
37	203	5156
38	204	5041
39	205	4940
40	206	4837
41	207	4739
42	208	4643
43	209	4551
44	210	4464
45	211	4382
46	212	4303
47	213	4226
48	214	4153
49	214	4081
50	215	4013
51	216	3948
52	217	3887
53	218	3829
54	219	3770
55	220	3712
56	221	3659
57	221	3605
58	222	3554
59	223	3504
60	224	3456
61	225	3409
62	226	3364
63	227	3319
64	227	3277
65	228	3237
66	229	3198
67	230	3153
68	231	3116
69	232	3083
70	232	3046
71	233	3010
72	234	2977
73	235	2943
74	236	2912
75	237	2882
76	237	2852
77	238	2824
78	239	2796
79	240	2768
80	241	2739
81	242	2714
82	243	2688
83	244	2663
84	244	2634
85	245	2610
86	246	2584
87	247	2562
88	248	2538
89	249	2517
90	249	2495
91	250	2475
92	251	2454
93	252	2434
94	253	2414
95	254	2393
96	255	2374
97	256	2356
98	256	2337
99	257	2318
100	258	2300
101	258	2279
102	259	2263
103	260	2246
104	261	2230
105	262	2215
106	263	2199
107	264	2183
108	265	2167
109	266	2152
110	266	2137
111	267	2123
112	268	2108
113	269	2094
114	270	2081
115	271	2066
116	272	2053
117	272	2039
118	273	2025
119	274	2013
120	275	2000
121	276	1989
122	276	1973
123	277	1960
124	278	1948
125	279	1936
126	280	1926
127	280	1912
128	281	1901
129	282	1890
130	283	1879
131	284	1868
132	284	1857
133	285	1847
134	286	1837
135	287	1827
136	288	1817
137	289	1806
138	290	1799
139	291	1790
140	292	1782
141	293	1774
142	294	1766
143	295	1759
144	297	1751
145	298	1744
146	299	1736
147	300	1727
148	300	1718
149	301	1710
150	302	1702
151	303	1693
152	304	1686
153	305	1678
154	306	1670
155	307	1662
156	308	1655
157	309	1648
158	310	1640
159	310	1632
160	311	1624
161	312	1616
162	313	1608
163	314	1601
164	315	1594
165	315	1587
166	316	1579
167	317	1572
168	318	1566
169	319	1558
170	320	1552
171	320	1545
172	321	1537
173	322	1530
174	323	1524
175	324	1517
176	325	1511
177	326	1505
178	326	1499
179	327	1492
180	327	1484
181	328	1478
182	329	1471
183	330	1466
184	331	1459
185	332	1453
186	333	1449
187	334	1443
188	334	1437
189	335	1432
190	336	1426
191	337	1421
192	338	1416
193	339	1410
194	340	1405
195	341	1399
196	342	1394
197	342	1388
198	343	1383
199	344	1378
200	345	1373
201	346	1367
202	347	1362
203	348	1358
204	349	1353
205	349	1348
206	350	1344
207	351	1339
208	352	1334
209	353	1329
210	354	1324
211	355	1320
212	356	1315
213	357	1311
214	357	1306
215	358	1302
216	359	1297
217	360	1293
218	361	1288
219	362	1284
220	363	1280
221	364	1275
222	364	1271
223	365	1266
224	366	1262
225	367	1257
226	368	1253
227	369	1249
228	369	1245
229	370	1241
230	371	1236
231	372	1232
232	373	1228
233	374	1224
234	374	1220
235	376	1218
236	377	1214
237	378	1210
238	378	1206
239	379	1202
240	380	1198
241	381	1194
242	382	1190
243	383	1186
244	383	1183
245	384	1179
246	385	1174
247	386	1171
248	387	1167
249	387	1163
250	388	1159
251	389	1156
252	390	1153
253	391	1149
254	392	1146
255	393	1142
256	394	1139
257	394	1136
258	395	1132
259	396	1129
260	397	1126
261	398	1122
262	399	1119
263	400	1115
264	401	1112
265	401	1109
266	402	1105
267	403	1102
268	404	1099
269	405	1096
270	406	1092
271	407	1089
272	408	1086
273	408	1083
274	409	1080
275	410	1077
276	411	1073
277	412	1070
278	413	1067
279	413	1064
280	414	1061
281	415	1058
282	416	1054
283	417	1052
284	418	1048
285	418	1045
286	419	1043
287	421	1041
288	421	1038
289	422	1035
290	423	1032
291	424	1029
292	425	1026
293	426	1023
294	427	1020
295	427	1017
296	428	1014
297	429	1011
298	430	1008
299	431	1006
300	432	1003
301	433	1001
302	434	998
303	434	995
304	435	993
305	436	990
306	437	987
307	438	984
308	439	981
309	440	979
310	440	976
311	441	973
312	442	971
313	443	968
314	444	966
315	445	963
316	446	961
317	447	958
318	447	956
319	448	953
320	449	950
321	450	948
322	451	946
323	452	943
324	453	941
325	454	939
326	455	936
327	455	934
328	456	931
329	457	929
330	458	926
331	459	924
332	460	921
333	461	919
334	461	916
335	462	914
336	463	912
337	464	909
338	465	907
339	466	905
340	467	902
341	468	900
342	468	898
343	469	895
344	470	893
345	471	891
346	472	888
347	473	886
348	474	884
349	474	881
350	475	879
351	476	877
352	477	875
