iter	Passed	Remaining
0	133	132975
1	136	67917
2	137	45757
3	139	34691
4	142	28383
5	144	23997
6	147	20916
7	149	18478
8	150	16578
9	152	15070
10	153	13824
11	158	13037
12	159	12113
13	160	11331
14	163	10728
15	164	10112
16	165	9568
17	166	9080
18	167	8641
19	169	8297
20	170	7948
21	171	7623
22	172	7323
23	174	7089
24	176	6874
25	178	6676
26	182	6581
27	184	6410
28	187	6276
29	188	6094
30	189	5924
31	191	5785
32	195	5722
33	196	5583
34	197	5450
35	199	5345
36	200	5229
37	201	5110
38	202	4998
39	203	4889
40	205	4813
41	206	4719
42	207	4625
43	208	4534
44	209	4449
45	211	4383
46	213	4325
47	214	4247
48	215	4175
49	215	4103
50	218	4060
51	219	3999
52	220	3936
53	221	3876
54	222	3821
55	224	3779
56	225	3727
57	226	3673
58	227	3621
59	227	3571
60	230	3543
61	231	3497
62	232	3453
63	233	3410
64	234	3369
65	236	3340
66	238	3322
67	243	3337
68	252	3402
69	258	3429
70	263	3452
71	271	3504
72	275	3493
73	277	3467
74	278	3436
75	280	3406
76	281	3377
77	285	3378
78	287	3352
79	288	3321
80	290	3291
81	291	3266
82	292	3230
83	293	3199
84	294	3169
85	295	3138
86	297	3118
87	298	3091
88	299	3062
89	300	3033
90	300	3005
91	301	2980
92	303	2961
93	304	2936
94	305	2911
95	306	2887
96	307	2862
97	308	2841
98	310	2821
99	311	2801
100	312	2779
101	313	2759
102	314	2737
103	316	2723
104	316	2701
105	317	2680
106	318	2661
107	319	2641
108	320	2622
109	322	2609
110	323	2591
111	324	2573
112	325	2555
113	326	2536
114	327	2519
115	328	2504
116	329	2485
117	330	2469
118	331	2452
119	332	2436
120	333	2419
121	334	2409
122	335	2394
123	336	2379
124	337	2364
125	338	2349
126	339	2332
127	341	2323
128	341	2308
129	342	2294
130	343	2280
131	344	2266
132	345	2252
133	347	2245
134	348	2232
135	349	2219
136	350	2206
137	351	2193
138	351	2180
139	353	2172
140	354	2160
141	355	2146
142	356	2134
143	357	2122
144	357	2110
145	359	2103
146	360	2091
147	361	2080
148	362	2069
149	363	2059
150	364	2047
151	365	2039
152	366	2029
153	367	2018
154	368	2007
155	369	1997
156	370	1987
157	370	1977
158	372	1971
159	373	1962
160	374	1950
161	375	1941
162	376	1932
163	377	1923
164	378	1916
165	380	1911
166	381	1902
167	384	1901
168	385	1893
169	386	1887
170	387	1878
171	388	1870
172	390	1865
173	391	1857
174	393	1853
175	394	1845
176	395	1837
177	396	1830
178	397	1822
179	399	1818
180	400	1810
181	402	1807
182	403	1800
183	404	1792
184	405	1786
185	406	1778
186	408	1775
187	409	1768
188	410	1760
189	412	1757
190	413	1749
191	414	1745
192	415	1738
193	416	1731
194	417	1724
195	418	1718
196	420	1714
197	421	1707
198	422	1699
199	423	1693
200	425	1690
201	426	1686
202	427	1679
203	428	1672
204	429	1665
205	431	1663
206	433	1660
207	434	1653
208	435	1647
209	436	1641
210	437	1635
211	438	1629
212	439	1625
213	440	1618
214	441	1612
215	442	1606
216	444	1604
217	445	1598
218	446	1593
219	447	1586
220	448	1581
221	450	1578
222	451	1573
223	452	1567
224	453	1561
225	454	1555
226	455	1550
227	456	1546
228	457	1541
229	458	1535
230	459	1529
231	460	1524
232	461	1517
233	463	1518
234	464	1512
235	465	1507
236	466	1501
237	467	1496
238	469	1495
239	470	1490
240	471	1485
241	472	1480
242	473	1474
243	474	1469
244	476	1467
245	477	1462
246	478	1457
247	478	1452
248	479	1446
249	480	1441
250	482	1439
251	483	1435
252	484	1431
253	486	1427
254	487	1423
255	489	1423
256	491	1420
257	492	1417
258	494	1414
259	495	1410
260	496	1406
261	497	1402
262	499	1398
263	501	1397
264	502	1393
265	503	1389
266	504	1385
267	505	1381
268	507	1379
269	508	1375
270	510	1372
271	511	1368
272	512	1365
273	515	1364
274	515	1360
275	518	1360
276	520	1358
277	521	1353
278	523	1352
279	527	1356
280	530	1357
281	540	1376
282	541	1372
283	543	1371
284	546	1372
285	553	1381
286	555	1378
287	556	1375
288	561	1380
289	562	1377
290	566	1381
291	568	1377
292	569	1374
293	572	1373
294	573	1370
295	575	1367
296	576	1364
297	579	1364
298	581	1363
299	582	1359
300	585	1360
301	587	1356
302	588	1353
303	590	1352
304	592	1350
305	594	1347
306	595	1344
307	598	1344
308	599	1341
309	601	1338
310	604	1338
311	606	1336
312	609	1338
313	611	1335
314	612	1331
315	613	1328
316	616	1328
317	617	1325
318	619	1322
319	620	1319
320	623	1318
321	624	1314
322	625	1311
323	626	1307
324	629	1308
325	631	1304
326	632	1301
327	633	1297
328	636	1297
329	637	1294
330	638	1290
331	641	1290
332	642	1287
333	646	1288
334	649	1289
335	650	1286
336	652	1282
337	654	1281
338	656	1279
339	658	1277
340	661	1278
341	662	1274
342	664	1272
343	667	1271
344	669	1270
345	670	1267
346	672	1264
347	677	1268
348	678	1265
349	682	1267
350	683	1264
351	688	1266
352	689	1263
353	691	1260
354	693	1259
355	694	1256
356	695	1253
357	697	1250
358	701	1252
359	703	1249
360	704	1246
361	706	1244
362	707	1242
363	709	1239
364	714	1243
365	716	1240
366	717	1237
367	718	1234
368	720	1231
369	723	1231
370	724	1228
371	726	1225
372	727	1223
373	731	1225
374	733	1222
375	736	1222
376	737	1218
377	738	1215
378	740	1212
379	742	1211
380	743	1208
381	745	1205
382	746	1202
383	749	1202
384	750	1199
385	751	1196
386	756	1198
387	758	1196
388	759	1193
389	762	1192
390	763	1189
391	765	1186
392	766	1183
393	769	1183
394	770	1180
395	772	1177
396	777	1180
397	779	1178
398	782	1178
399	783	1175
400	784	1172
401	786	1169
402	787	1166
403	788	1163
404	790	1162
405	794	1161
406	796	1159
407	797	1157
408	801	1157
409	802	1154
410	805	1154
411	807	1152
412	819	1165
413	823	1165
414	825	1164
415	827	1161
416	828	1158
417	830	1155
418	833	1155
419	835	1153
420	836	1150
421	839	1149
422	840	1145
423	841	1142
424	842	1139
425	843	1136
426	844	1133
427	845	1130
428	846	1126
429	847	1123
430	848	1120
431	849	1117
432	851	1114
433	852	1111
434	853	1108
435	854	1105
436	855	1101
437	855	1098
438	857	1096
439	858	1093
440	859	1089
441	860	1086
442	861	1083
443	862	1079
444	864	1077
445	865	1074
446	866	1071
447	867	1068
448	868	1065
449	869	1063
450	870	1060
451	871	1057
452	873	1054
453	874	1051
454	875	1048
455	876	1046
456	877	1042
457	878	1039
458	879	1036
459	880	1033
460	882	1031
461	883	1029
462	884	1026
463	886	1024
464	887	1021
465	889	1019
466	891	1017
467	892	1014
468	893	1011
469	895	1009
470	896	1007
471	898	1004
472	899	1001
473	900	998
474	901	996
475	902	993
476	904	991
477	905	988
478	906	985
479	908	984
480	909	981
481	911	979
482	911	976
483	912	973
484	914	971
485	915	968
486	917	966
487	918	963
488	919	960
489	921	958
490	922	955
491	923	953
492	924	950
493	925	948
494	927	946
495	928	943
496	929	940
497	931	938
498	932	935
499	933	933
500	934	931
501	935	928
502	937	926
503	938	923
504	940	921
505	941	919
506	942	916
507	944	914
508	945	911
509	947	910
510	949	908
511	950	905
512	951	902
513	952	900
514	953	898
515	954	895
516	956	893
517	957	890
518	958	888
519	959	886
520	960	883
521	962	881
522	963	878
523	964	876
524	965	873
525	966	871
526	967	868
527	969	866
528	970	864
529	971	861
530	972	858
531	973	856
532	974	853
533	975	851
534	977	849
535	977	846
536	979	844
537	980	841
538	981	839
539	982	836
540	983	834
541	984	832
542	985	829
543	986	827
544	988	825
545	989	822
546	990	820
547	991	818
548	992	815
549	993	813
550	995	811
551	996	809
552	998	806
553	999	804
554	1000	801
555	1001	799
556	1002	797
557	1004	795
558	1005	792
559	1006	790
560	1007	788
561	1008	785
562	1009	783
563	1010	781
564	1011	778
565	1012	776
566	1013	774
567	1014	771
568	1015	769
569	1017	767
570	1018	764
571	1019	762
572	1020	760
573	1021	758
574	1022	755
575	1023	753
576	1024	751
577	1025	748
578	1027	746
579	1028	744
580	1029	742
581	1030	740
582	1031	738
583	1033	736
584	1034	734
585	1036	732
586	1037	730
587	1038	727
588	1040	725
589	1041	723
590	1043	721
591	1044	719
592	1045	717
593	1046	715
594	1048	713
595	1049	711
596	1050	709
597	1052	707
598	1053	705
599	1054	703
600	1056	701
601	1057	699
602	1059	697
603	1060	695
604	1061	693
605	1063	691
606	1064	689
607	1065	687
608	1067	685
609	1068	683
610	1069	681
611	1071	679
612	1072	677
613	1074	675
614	1075	673
615	1076	671
616	1079	670
617	1081	668
618	1082	666
619	1084	664
620	1085	662
621	1086	660
622	1088	658
623	1089	656
624	1091	654
625	1092	652
626	1094	650
627	1095	648
628	1097	647
629	1098	645
630	1100	643
631	1101	641
632	1103	639
633	1104	637
634	1105	635
635	1107	633
636	1108	631
637	1110	630
638	1111	627
639	1112	625
640	1114	623
641	1115	621
642	1117	620
643	1118	618
644	1120	616
645	1121	614
646	1123	613
647	1124	610
648	1125	608
649	1127	607
650	1128	605
651	1129	602
652	1130	600
653	1132	599
654	1133	597
655	1134	595
656	1135	592
657	1136	590
658	1137	588
659	1139	586
660	1140	584
661	1141	582
662	1142	580
663	1143	578
664	1144	576
665	1146	574
666	1147	572
667	1148	570
668	1149	568
669	1150	566
670	1152	564
671	1153	562
672	1154	560
673	1155	559
674	1157	557
675	1158	555
676	1159	553
677	1160	551
678	1161	549
679	1162	547
680	1164	545
681	1165	543
682	1166	541
683	1167	539
684	1169	537
685	1170	535
686	1172	534
687	1173	532
688	1174	530
689	1175	528
690	1176	526
691	1178	524
692	1179	522
693	1180	520
694	1181	518
695	1182	516
696	1184	514
697	1185	512
698	1186	510
699	1187	508
700	1188	506
701	1189	504
702	1190	503
703	1192	501
704	1193	499
705	1194	497
706	1195	495
707	1196	493
708	1198	491
709	1199	489
710	1200	488
711	1202	486
712	1203	484
713	1204	482
714	1205	480
715	1206	478
716	1208	476
717	1209	474
718	1210	473
